;FECHA;TEMP;HUM;PNM;DD;FF;NOMBRE
0;2021-09-21T00:00:00;14.1;67;1028.4;200;17;CORDOBA AERO
1;2021-09-21T01:00:00;13.5;69;1028.5;180;15;CORDOBA AERO
2;2021-09-21T02:00:00;11.9;74;1028.2;200;13;CORDOBA AERO
3;2021-09-21T03:00:00;11.5;76;1028.2;270;9;CORDOBA AERO
4;2021-09-21T04:00:00;11.7;75;1027.4;230;9;CORDOBA AERO
5;2021-09-21T05:00:00;12.1;71;1027.5;180;9;CORDOBA AERO
6;2021-09-21T06:00:00;12.4;71;1027.8;160;11;CORDOBA AERO
7;2021-09-21T07:00:00;11.6;78;1029.1;140;11;CORDOBA AERO
8;2021-09-21T08:00:00;11.2;84;1029.7;140;7;CORDOBA AERO
9;2021-09-21T09:00:00;11.2;82;1030.3;110;9;CORDOBA AERO
10;2021-09-21T10:00:00;11.2;84;1030.4;140;4;CORDOBA AERO
11;2021-09-21T11:00:00;12.0;79;1030.5;50;6;CORDOBA AERO
12;2021-09-21T12:00:00;12.7;78;1029.9;50;7;CORDOBA AERO
13;2021-09-21T13:00:00;14.2;68;1028.7;0;0;CORDOBA AERO
14;2021-09-21T14:00:00;14.2;68;1028.7;0;0;CORDOBA AERO
15;2021-09-21T15:00:00;14.2;68;1028.7;0;0;CORDOBA AERO
16;2021-09-21T16:00:00;17.6;42;1025.1;90;11;CORDOBA AERO
17;2021-09-21T17:00:00;17.2;37;1024.6;90;7;CORDOBA AERO
18;2021-09-21T18:00:00;17.6;35;1024.2;110;9;CORDOBA AERO
19;2021-09-21T19:00:00;16.2;40;1024.4;90;7;CORDOBA AERO
20;2021-09-21T20:00:00;14.9;46;1024.8;20;4;CORDOBA AERO
21;2021-09-21T21:00:00;13.3;56;1025.5;360;4;CORDOBA AERO
22;2021-09-21T22:00:00;13.2;57;1025.7;20;6;CORDOBA AERO
23;2021-09-21T23:00:00;12.6;57;1025.5;50;7;CORDOBA AERO
24;2021-09-21T00:00:00;14.2;72;1027.3;230;15;CORDOBA OBSERVATORIO
25;2021-09-21T01:00:00;14.0;73;1027.6;230;11;CORDOBA OBSERVATORIO
26;2021-09-21T02:00:00;13.4;75;1027.5;180;9;CORDOBA OBSERVATORIO
27;2021-09-21T03:00:00;12.8;78;1027.6;230;7;CORDOBA OBSERVATORIO
28;2021-09-21T04:00:00;12.4;79;1027.1;230;9;CORDOBA OBSERVATORIO
29;2021-09-21T05:00:00;12.0;82;1027.2;230;6;CORDOBA OBSERVATORIO
30;2021-09-21T06:00:00;13.0;66;1027.4;180;11;CORDOBA OBSERVATORIO
31;2021-09-21T07:00:00;12.4;71;1028.5;140;11;CORDOBA OBSERVATORIO
32;2021-09-21T08:00:00;12.0;78;1028.8;140;7;CORDOBA OBSERVATORIO
33;2021-09-21T09:00:00;11.9;77;1028.8;110;9;CORDOBA OBSERVATORIO
34;2021-09-21T10:00:00;12.2;77;1029.3;50;4;CORDOBA OBSERVATORIO
35;2021-09-21T11:00:00;12.7;74;1029.2;90;7;CORDOBA OBSERVATORIO
36;2021-09-21T12:00:00;14.0;69;1029.3;50;7;CORDOBA OBSERVATORIO
37;2021-09-21T13:00:00;15.4;65;1027.8;90;6;CORDOBA OBSERVATORIO
38;2021-09-21T14:00:00;16.3;57;1026.6;110;4;CORDOBA OBSERVATORIO
39;2021-09-21T15:00:00;17.4;50;1025.5;110;7;CORDOBA OBSERVATORIO
40;2021-09-21T16:00:00;18.0;43;1024.0;50;9;CORDOBA OBSERVATORIO
41;2021-09-21T17:00:00;18.1;38;1023.4;90;6;CORDOBA OBSERVATORIO
42;2021-09-21T18:00:00;18.3;34;1023.4;50;4;CORDOBA OBSERVATORIO
43;2021-09-21T19:00:00;17.4;38;1023.0;50;4;CORDOBA OBSERVATORIO
44;2021-09-21T20:00:00;16.0;43;1023.8;140;2;CORDOBA OBSERVATORIO
45;2021-09-21T21:00:00;16.6;40;1024.6;50;6;CORDOBA OBSERVATORIO
46;2021-09-21T22:00:00;16.3;35;1024.9;90;13;CORDOBA OBSERVATORIO
47;2021-09-21T23:00:00;15.6;35;1024.9;50;6;CORDOBA OBSERVATORIO
