;FECHA;TEMP;HUM;PNM;DD;FF;NOMBRE
0;2021-07-09T00:00:00;12.4;84;1011.1;50;9;CORDOBA AERO
1;2021-07-09T01:00:00;13.7;80;1010.9;20;9;CORDOBA AERO
2;2021-07-09T02:00:00;14.5;76;1010.1;50;15;CORDOBA AERO
3;2021-07-09T03:00:00;15.0;69;1009.3;20;15;CORDOBA AERO
4;2021-07-09T04:00:00;15.8;63;1008.5;20;17;CORDOBA AERO
5;2021-07-09T05:00:00;14.9;65;1008.5;360;15;CORDOBA AERO
6;2021-07-09T06:00:00;19.0;49;1008.0;20;22;CORDOBA AERO
7;2021-07-09T07:00:00;20.0;47;1008.5;360;22;CORDOBA AERO
8;2021-07-09T08:00:00;17.6;57;1009.3;360;19;CORDOBA AERO
9;2021-07-09T09:00:00;17.4;59;1009.4;360;11;CORDOBA AERO
10;2021-07-09T10:00:00;22.1;47;1009.7;360;15;CORDOBA AERO
11;2021-07-09T11:00:00;24.5;44;1009.4;360;28;CORDOBA AERO
12;2021-07-09T12:00:00;27.4;37;1009.1;340;19;CORDOBA AERO
13;2021-07-09T13:00:00;28.3;31;1008.3;320;13;CORDOBA AERO
14;2021-07-09T14:00:00;29.1;31;1006.9;320;17;CORDOBA AERO
15;2021-07-09T15:00:00;30.0;30;1006.1;320;17;CORDOBA AERO
16;2021-07-09T16:00:00;30.0;30;1006.1;320;17;CORDOBA AERO
17;2021-07-09T17:00:00;29.0;32;1005.9;320;9;CORDOBA AERO
18;2021-07-09T18:00:00;25.3;42;1006.4;320;7;CORDOBA AERO
19;2021-07-09T19:00:00;20.6;54;1007.2;360;15;CORDOBA AERO
20;2021-07-09T20:00:00;17.5;64;1008.4;360;15;CORDOBA AERO
21;2021-07-09T21:00:00;16.0;68;1009.2;360;11;CORDOBA AERO
22;2021-07-09T22:00:00;14.6;76;1009.4;320;7;CORDOBA AERO
23;2021-07-09T23:00:00;13.4;76;1010.2;270;9;CORDOBA AERO
24;2021-07-09T00:00:00;16.6;73;1009.9;20;6;CORDOBA OBSERVATORIO
25;2021-07-09T01:00:00;19.9;59;1009.1;20;11;CORDOBA OBSERVATORIO
26;2021-07-09T02:00:00;20.3;56;1007.9;20;13;CORDOBA OBSERVATORIO
27;2021-07-09T03:00:00;20.0;52;1008.0;20;13;CORDOBA OBSERVATORIO
28;2021-07-09T04:00:00;18.8;56;1007.7;360;6;CORDOBA OBSERVATORIO
29;2021-07-09T05:00:00;16.6;64;1007.4;320;6;CORDOBA OBSERVATORIO
30;2021-07-09T06:00:00;15.7;67;1007.6;320;6;CORDOBA OBSERVATORIO
31;2021-07-09T07:00:00;17.1;60;1008.0;320;7;CORDOBA OBSERVATORIO
32;2021-07-09T08:00:00;17.5;62;1008.6;320;4;CORDOBA OBSERVATORIO
33;2021-07-09T09:00:00;18.1;61;1009.0;360;7;CORDOBA OBSERVATORIO
34;2021-07-09T10:00:00;19.7;56;1009.1;50;6;CORDOBA OBSERVATORIO
35;2021-07-09T11:00:00;23.8;47;1008.7;20;9;CORDOBA OBSERVATORIO
36;2021-07-09T12:00:00;27.1;41;1008.4;360;9;CORDOBA OBSERVATORIO
37;2021-07-09T13:00:00;28.6;38;1007.4;320;11;CORDOBA OBSERVATORIO
38;2021-07-09T14:00:00;30.2;35;1006.3;320;9;CORDOBA OBSERVATORIO
39;2021-07-09T15:00:00;29.9;33;1005.9;270;13;CORDOBA OBSERVATORIO
40;2021-07-09T16:00:00;29.9;35;1005.4;250;11;CORDOBA OBSERVATORIO
41;2021-07-09T17:00:00;29.7;35;1005.2;360;7;CORDOBA OBSERVATORIO
42;2021-07-09T18:00:00;27.2;44;1005.8;50;4;CORDOBA OBSERVATORIO
43;2021-07-09T19:00:00;24.9;51;1006.4;360;6;CORDOBA OBSERVATORIO
44;2021-07-09T20:00:00;23.6;52;1007.4;360;4;CORDOBA OBSERVATORIO
45;2021-07-09T21:00:00;20.6;63;1007.6;360;4;CORDOBA OBSERVATORIO
46;2021-07-09T22:00:00;19.2;68;1008.0;320;4;CORDOBA OBSERVATORIO
47;2021-07-09T23:00:00;18.3;70;1008.4;180;9;CORDOBA OBSERVATORIO
