;FECHA;TEMP;HUM;PNM;DD;FF;NOMBRE
0;2021-10-08T00:00:00;15.6;46;1017.6;50;11;CORDOBA AERO
1;2021-10-08T01:00:00;14.8;46;1017.4;50;11;CORDOBA AERO
2;2021-10-08T02:00:00;13.7;49;1016.7;20;7;CORDOBA AERO
3;2021-10-08T03:00:00;13.6;56;1016.0;50;4;CORDOBA AERO
4;2021-10-08T04:00:00;13.2;53;1015.4;50;4;CORDOBA AERO
5;2021-10-08T05:00:00;13.1;58;1015.0;90;6;CORDOBA AERO
6;2021-10-08T06:00:00;12.4;62;1015.5;90;6;CORDOBA AERO
7;2021-10-08T07:00:00;12.4;62;1016.1;70;6;CORDOBA AERO
8;2021-10-08T08:00:00;12.2;64;1016.5;0;0;CORDOBA AERO
9;2021-10-08T09:00:00;13.0;57;1016.9;320;4;CORDOBA AERO
10;2021-10-08T10:00:00;14.6;51;1016.4;360;6;CORDOBA AERO
11;2021-10-08T11:00:00;15.7;51;1015.8;360;6;CORDOBA AERO
12;2021-10-08T12:00:00;18.6;39;1014.7;360;13;CORDOBA AERO
13;2021-10-08T13:00:00;20.2;28;1013.8;50;15;CORDOBA AERO
14;2021-10-08T14:00:00;22.5;24;1012.8;90;15;CORDOBA AERO
15;2021-10-08T15:00:00;23.2;26;1012.5;90;15;CORDOBA AERO
16;2021-10-08T16:00:00;22.7;29;1012.0;70;13;CORDOBA AERO
17;2021-10-08T17:00:00;22.7;30;1011.9;110;11;CORDOBA AERO
18;2021-10-08T18:00:00;22.0;32;1012.8;90;15;CORDOBA AERO
19;2021-10-08T19:00:00;20.6;36;1014.0;80;15;CORDOBA AERO
20;2021-10-08T20:00:00;18.5;39;1015.6;90;13;CORDOBA AERO
21;2021-10-08T21:00:00;18.0;41;1017.1;90;15;CORDOBA AERO
22;2021-10-08T22:00:00;16.6;45;1018.4;70;11;CORDOBA AERO
23;2021-10-08T23:00:00;15.5;55;1019.2;0;0;CORDOBA AERO
24;2021-10-08T00:00:00;17.5;42;1017.0;90;7;CORDOBA OBSERVATORIO
25;2021-10-08T01:00:00;16.9;42;1016.8;50;7;CORDOBA OBSERVATORIO
26;2021-10-08T02:00:00;16.3;44;1016.1;360;6;CORDOBA OBSERVATORIO
27;2021-10-08T03:00:00;16.0;46;1015.8;50;4;CORDOBA OBSERVATORIO
28;2021-10-08T04:00:00;15.8;46;1015.3;360;4;CORDOBA OBSERVATORIO
29;2021-10-08T05:00:00;15.3;46;1014.9;90;6;CORDOBA OBSERVATORIO
30;2021-10-08T06:00:00;15.0;48;1015.0;90;6;CORDOBA OBSERVATORIO
31;2021-10-08T07:00:00;14.7;48;1015.2;110;7;CORDOBA OBSERVATORIO
32;2021-10-08T08:00:00;14.4;49;1015.6;90;7;CORDOBA OBSERVATORIO
33;2021-10-08T09:00:00;14.8;47;1015.6;90;4;CORDOBA OBSERVATORIO
34;2021-10-08T10:00:00;15.4;50;1015.9;140;4;CORDOBA OBSERVATORIO
35;2021-10-08T11:00:00;16.8;45;1015.8;50;4;CORDOBA OBSERVATORIO
36;2021-10-08T12:00:00;19.0;36;1014.7;140;6;CORDOBA OBSERVATORIO
37;2021-10-08T13:00:00;20.6;35;1014.0;90;7;CORDOBA OBSERVATORIO
38;2021-10-08T14:00:00;21.6;33;1013.2;90;9;CORDOBA OBSERVATORIO
39;2021-10-08T15:00:00;24.0;23;1012.2;90;13;CORDOBA OBSERVATORIO
40;2021-10-08T16:00:00;24.4;23;1010.4;90;15;CORDOBA OBSERVATORIO
41;2021-10-08T17:00:00;23.9;27;1010.8;90;9;CORDOBA OBSERVATORIO
42;2021-10-08T18:00:00;23.8;28;1012.1;90;7;CORDOBA OBSERVATORIO
43;2021-10-08T19:00:00;22.0;32;1013.8;90;15;CORDOBA OBSERVATORIO
44;2021-10-08T20:00:00;21.2;35;1014.1;110;11;CORDOBA OBSERVATORIO
45;2021-10-08T21:00:00;20.2;37;1016.7;140;11;CORDOBA OBSERVATORIO
46;2021-10-08T22:00:00;18.6;36;1017.1;90;15;CORDOBA OBSERVATORIO
47;2021-10-08T23:00:00;17.2;36;1017.5;90;11;CORDOBA OBSERVATORIO
