;FECHA;TEMP;HUM;PNM;DD;FF;NOMBRE
0;2022-02-08T00:00:00;14.9;86;1017.8;360;9;CORDOBA AERO
1;2022-02-08T01:00:00;14.6;90;1017.3;340;9;CORDOBA AERO
2;2022-02-08T02:00:00;13.4;92;1016.8;340;7;CORDOBA AERO
3;2022-02-08T03:00:00;12.8;96;1016.0;340;2;CORDOBA AERO
4;2022-02-08T04:00:00;14.4;81;1015.4;320;9;CORDOBA AERO
5;2022-02-08T05:00:00;12.5;85;1015.4;340;7;CORDOBA AERO
6;2022-02-08T06:00:00;11.0;94;1015.8;20;4;CORDOBA AERO
7;2022-02-08T07:00:00;10.8;94;1016.2;360;9;CORDOBA AERO
8;2022-02-08T08:00:00;16.9;75;1016.1;360;13;CORDOBA AERO
9;2022-02-08T09:00:00;20.5;58;1016.3;360;19;CORDOBA AERO
10;2022-02-08T10:00:00;22.5;50;1016.2;20;26;CORDOBA AERO
11;2022-02-08T11:00:00;24.8;46;1016.2;20;20;CORDOBA AERO
12;2022-02-08T12:00:00;25.8;46;1016.1;70;20;CORDOBA AERO
13;2022-02-08T13:00:00;27.5;45;1015.4;50;20;CORDOBA AERO
14;2022-02-08T14:00:00;28.4;45;1014.8;50;19;CORDOBA AERO
15;2022-02-08T15:00:00;29.7;43;1014.0;50;17;CORDOBA AERO
16;2022-02-08T16:00:00;30.0;40;1013.1;70;17;CORDOBA AERO
17;2022-02-08T17:00:00;30.0;41;1012.4;50;19;CORDOBA AERO
18;2022-02-08T18:00:00;29.2;42;1012.2;50;19;CORDOBA AERO
19;2022-02-08T19:00:00;28.0;47;1012.5;50;17;CORDOBA AERO
20;2022-02-08T20:00:00;24.1;64;1012.6;50;9;CORDOBA AERO
21;2022-02-08T21:00:00;20.5;76;1013.3;20;11;CORDOBA AERO
22;2022-02-08T22:00:00;19.0;79;1014.1;340;11;CORDOBA AERO
23;2022-02-08T23:00:00;17.5;87;1014.6;360;9;CORDOBA AERO
24;2022-02-08T00:00:00;20.6;64;1016.7;320;2;CORDOBA OBSERVATORIO
25;2022-02-08T01:00:00;19.7;68;1016.4;360;4;CORDOBA OBSERVATORIO
26;2022-02-08T02:00:00;19.5;69;1015.9;340;4;CORDOBA OBSERVATORIO
27;2022-02-08T03:00:00;18.2;76;1015.1;50;4;CORDOBA OBSERVATORIO
28;2022-02-08T04:00:00;17.8;76;1014.8;70;4;CORDOBA OBSERVATORIO
29;2022-02-08T05:00:00;17.5;76;1014.5;70;4;CORDOBA OBSERVATORIO
30;2022-02-08T06:00:00;17.4;71;1014.6;360;4;CORDOBA OBSERVATORIO
31;2022-02-08T07:00:00;17.2;70;1014.9;360;4;CORDOBA OBSERVATORIO
32;2022-02-08T08:00:00;18.4;63;1015.3;50;4;CORDOBA OBSERVATORIO
33;2022-02-08T09:00:00;20.6;57;1015.5;50;7;CORDOBA OBSERVATORIO
34;2022-02-08T10:00:00;24.0;43;1015.3;50;9;CORDOBA OBSERVATORIO
35;2022-02-08T11:00:00;25.6;43;1015.4;50;9;CORDOBA OBSERVATORIO
36;2022-02-08T12:00:00;27.2;40;1014.9;50;13;CORDOBA OBSERVATORIO
37;2022-02-08T13:00:00;28.2;42;1013.5;50;11;CORDOBA OBSERVATORIO
38;2022-02-08T14:00:00;29.2;41;1013.7;50;7;CORDOBA OBSERVATORIO
39;2022-02-08T15:00:00;30.0;40;1013.1;90;15;CORDOBA OBSERVATORIO
40;2022-02-08T16:00:00;31.2;38;1012.3;90;15;CORDOBA OBSERVATORIO
41;2022-02-08T17:00:00;31.4;38;1011.6;90;15;CORDOBA OBSERVATORIO
42;2022-02-08T18:00:00;30.8;40;1009.7;90;15;CORDOBA OBSERVATORIO
43;2022-02-08T19:00:00;30.2;40;1011.1;90;13;CORDOBA OBSERVATORIO
44;2022-02-08T20:00:00;27.6;44;1011.2;90;9;CORDOBA OBSERVATORIO
45;2022-02-08T21:00:00;26.2;51;1010.8;90;9;CORDOBA OBSERVATORIO
46;2022-02-08T22:00:00;25.2;55;1011.1;50;6;CORDOBA OBSERVATORIO
47;2022-02-08T23:00:00;23.2;62;1012.1;360;6;CORDOBA OBSERVATORIO
