;FECHA;TEMP;HUM;PNM;DD;FF;NOMBRE
0;2022-01-02T00:00:00;21.7;80;1004.8;0;0;CORDOBA AERO
1;2022-01-02T01:00:00;20.0;87;1004.1;0;0;CORDOBA AERO
2;2022-01-02T02:00:00;21.1;78;1004.0;270;9;CORDOBA AERO
3;2022-01-02T03:00:00;18.8;89;1004.1;50;11;CORDOBA AERO
4;2022-01-02T04:00:00;19.0;89;1003.7;320;9;CORDOBA AERO
5;2022-01-02T05:00:00;18.5;92;1004.5;320;6;CORDOBA AERO
6;2022-01-02T06:00:00;18.4;92;1003.9;360;7;CORDOBA AERO
7;2022-01-02T07:00:00;19.4;88;1003.8;360;11;CORDOBA AERO
8;2022-01-02T08:00:00;24.2;72;1003.6;20;9;CORDOBA AERO
9;2022-01-02T09:00:00;26.5;63;1003.7;50;13;CORDOBA AERO
10;2022-01-02T10:00:00;28.7;58;1003.3;50;13;CORDOBA AERO
11;2022-01-02T11:00:00;31.4;50;1003.0;20;7;CORDOBA AERO
12;2022-01-02T12:00:00;33.2;46;1002.4;140;15;CORDOBA AERO
13;2022-01-02T13:00:00;36.2;33;1001.2;360;15;CORDOBA AERO
14;2022-01-02T14:00:00;37.2;34;1000.2;990;13;CORDOBA AERO
15;2022-01-02T15:00:00;38.4;30;998.7;20;17;CORDOBA AERO
16;2022-01-02T16:00:00;39.2;25;997.3;360;13;CORDOBA AERO
17;2022-01-02T17:00:00;40.0;15;998.2;140;22;CORDOBA AERO
18;2022-01-02T18:00:00;24.7;64;1002.1;90;7;CORDOBA AERO
19;2022-01-02T19:00:00;25.8;63;1002.7;360;9;CORDOBA AERO
20;2022-01-02T20:00:00;25.6;63;1003.3;90;9;CORDOBA AERO
21;2022-01-02T21:00:00;23.9;74;1004.4;290;9;CORDOBA AERO
22;2022-01-02T22:00:00;24.1;68;1004.3;270;11;CORDOBA AERO
23;2022-01-02T23:00:00;22.5;73;1004.6;340;9;CORDOBA AERO
24;2022-01-02T00:00:00;25.0;66;1003.5;180;7;CORDOBA OBSERVATORIO
25;2022-01-02T01:00:00;24.2;68;1002.5;180;6;CORDOBA OBSERVATORIO
26;2022-01-02T02:00:00;23.8;70;1002.4;180;7;CORDOBA OBSERVATORIO
27;2022-01-02T03:00:00;23.4;71;1002.4;110;7;CORDOBA OBSERVATORIO
28;2022-01-02T04:00:00;23.9;68;1002.5;50;4;CORDOBA OBSERVATORIO
29;2022-01-02T05:00:00;24.2;68;1002.6;320;4;CORDOBA OBSERVATORIO
30;2022-01-02T06:00:00;22.2;73;1002.7;50;4;CORDOBA OBSERVATORIO
31;2022-01-02T07:00:00;22.7;73;1002.8;50;6;CORDOBA OBSERVATORIO
32;2022-01-02T08:00:00;24.2;71;1003.4;360;4;CORDOBA OBSERVATORIO
33;2022-01-02T09:00:00;26.5;62;1003.3;50;7;CORDOBA OBSERVATORIO
34;2022-01-02T10:00:00;29.4;53;1002.6;50;7;CORDOBA OBSERVATORIO
35;2022-01-02T11:00:00;31.8;48;1002.1;50;7;CORDOBA OBSERVATORIO
36;2022-01-02T12:00:00;33.7;47;1002.1;90;11;CORDOBA OBSERVATORIO
37;2022-01-02T13:00:00;36.2;37;1001.0;90;6;CORDOBA OBSERVATORIO
38;2022-01-02T14:00:00;38.0;33;1000.4;90;9;CORDOBA OBSERVATORIO
39;2022-01-02T15:00:00;39.2;30;999.4;360;11;CORDOBA OBSERVATORIO
40;2022-01-02T16:00:00;40.0;28;997.9;360;9;CORDOBA OBSERVATORIO
41;2022-01-02T17:00:00;26.8;53;1000.3;140;30;CORDOBA OBSERVATORIO
42;2022-01-02T18:00:00;27.6;52;1001.1;90;11;CORDOBA OBSERVATORIO
43;2022-01-02T19:00:00;26.1;59;1001.9;90;13;CORDOBA OBSERVATORIO
44;2022-01-02T20:00:00;25.9;56;1002.4;50;7;CORDOBA OBSERVATORIO
45;2022-01-02T21:00:00;26.6;55;1002.6;340;9;CORDOBA OBSERVATORIO
46;2022-01-02T22:00:00;26.4;60;1003.7;290;7;CORDOBA OBSERVATORIO
47;2022-01-02T23:00:00;26.2;60;1003.1;70;2;CORDOBA OBSERVATORIO
