;FECHA;TEMP;HUM;PNM;DD;FF;NOMBRE
0;2021-12-20T00:00:00;23.5;61;1009.6;320;9;CORDOBA AERO
1;2021-12-20T01:00:00;22.7;64;1009.6;320;9;CORDOBA AERO
2;2021-12-20T02:00:00;21.5;68;1009.4;330;11;CORDOBA AERO
3;2021-12-20T03:00:00;20.7;72;1008.9;330;9;CORDOBA AERO
4;2021-12-20T04:00:00;20.3;72;1008.8;340;11;CORDOBA AERO
5;2021-12-20T05:00:00;19.3;80;1010.0;360;6;CORDOBA AERO
6;2021-12-20T06:00:00;19.5;90;1011.3;270;6;CORDOBA AERO
7;2021-12-20T07:00:00;20.2;82;1012.0;270;7;CORDOBA AERO
8;2021-12-20T08:00:00;22.7;75;1013.8;200;11;CORDOBA AERO
9;2021-12-20T09:00:00;24.2;66;1014.7;180;22;CORDOBA AERO
10;2021-12-20T10:00:00;24.2;75;1014.8;180;15;CORDOBA AERO
11;2021-12-20T11:00:00;25.7;68;1014.1;160;13;CORDOBA AERO
12;2021-12-20T12:00:00;27.2;62;1013.4;90;7;CORDOBA AERO
13;2021-12-20T13:00:00;30.0;51;1012.3;180;9;CORDOBA AERO
14;2021-12-20T14:00:00;30.7;50;1011.0;340;6;CORDOBA AERO
15;2021-12-20T15:00:00;31.6;49;1009.2;160;9;CORDOBA AERO
16;2021-12-20T16:00:00;33.0;42;1007.7;360;7;CORDOBA AERO
17;2021-12-20T17:00:00;33.7;42;1006.4;90;11;CORDOBA AERO
18;2021-12-20T18:00:00;33.7;42;1005.6;20;15;CORDOBA AERO
19;2021-12-20T19:00:00;32.8;41;1004.9;20;9;CORDOBA AERO
20;2021-12-20T20:00:00;30.7;44;1004.8;50;11;CORDOBA AERO
21;2021-12-20T21:00:00;27.2;55;1005.4;20;11;CORDOBA AERO
22;2021-12-20T22:00:00;26.2;58;1005.6;360;15;CORDOBA AERO
23;2021-12-20T23:00:00;26.6;55;1004.8;360;15;CORDOBA AERO
24;2021-12-20T00:00:00;28.4;48;1006.6;340;4;CORDOBA OBSERVATORIO
25;2021-12-20T01:00:00;27.2;50;1007.1;270;2;CORDOBA OBSERVATORIO
26;2021-12-20T02:00:00;26.4;55;1007.3;290;2;CORDOBA OBSERVATORIO
27;2021-12-20T03:00:00;25.6;59;1007.5;270;2;CORDOBA OBSERVATORIO
28;2021-12-20T04:00:00;25.2;55;1007.5;340;4;CORDOBA OBSERVATORIO
29;2021-12-20T05:00:00;24.8;56;1007.7;360;2;CORDOBA OBSERVATORIO
30;2021-12-20T06:00:00;24.2;65;1008.3;140;4;CORDOBA OBSERVATORIO
31;2021-12-20T07:00:00;25.4;59;1010.2;160;6;CORDOBA OBSERVATORIO
32;2021-12-20T08:00:00;23.8;68;1013.4;180;9;CORDOBA OBSERVATORIO
33;2021-12-20T09:00:00;24.1;72;1014.3;180;13;CORDOBA OBSERVATORIO
34;2021-12-20T10:00:00;25.4;70;1014.6;230;15;CORDOBA OBSERVATORIO
35;2021-12-20T11:00:00;27.0;66;1014.3;230;15;CORDOBA OBSERVATORIO
36;2021-12-20T12:00:00;28.6;58;1013.3;180;6;CORDOBA OBSERVATORIO
37;2021-12-20T13:00:00;30.6;51;1012.2;180;9;CORDOBA OBSERVATORIO
38;2021-12-20T14:00:00;32.2;45;1010.8;110;7;CORDOBA OBSERVATORIO
39;2021-12-20T15:00:00;33.5;43;1009.2;140;7;CORDOBA OBSERVATORIO
40;2021-12-20T16:00:00;33.8;42;1007.6;140;4;CORDOBA OBSERVATORIO
41;2021-12-20T17:00:00;35.0;38;1005.7;160;9;CORDOBA OBSERVATORIO
42;2021-12-20T18:00:00;35.3;37;1005.1;160;7;CORDOBA OBSERVATORIO
43;2021-12-20T19:00:00;34.4;37;1004.7;50;9;CORDOBA OBSERVATORIO
44;2021-12-20T20:00:00;33.0;40;1004.8;50;6;CORDOBA OBSERVATORIO
45;2021-12-20T21:00:00;32.2;40;1005.4;50;7;CORDOBA OBSERVATORIO
46;2021-12-20T22:00:00;31.0;45;1004.3;20;7;CORDOBA OBSERVATORIO
47;2021-12-20T23:00:00;29.8;47;1003.9;20;7;CORDOBA OBSERVATORIO
