;FECHA;TEMP;HUM;PNM;DD;FF;NOMBRE
0;2021-05-18T00:00:00;15.7;79;1019.5;360;4;CORDOBA AERO
1;2021-05-18T01:00:00;15.4;81;1019.0;20;7;CORDOBA AERO
2;2021-05-18T02:00:00;15.8;79;1018.3;360;9;CORDOBA AERO
3;2021-05-18T03:00:00;16.2;78;1017.8;360;13;CORDOBA AERO
4;2021-05-18T04:00:00;15.2;84;1017.4;360;11;CORDOBA AERO
5;2021-05-18T05:00:00;16.2;76;1016.9;20;20;CORDOBA AERO
6;2021-05-18T06:00:00;16.2;75;1016.8;20;19;CORDOBA AERO
7;2021-05-18T07:00:00;15.6;78;1017.2;20;9;CORDOBA AERO
8;2021-05-18T08:00:00;14.8;85;1018.0;50;7;CORDOBA AERO
9;2021-05-18T09:00:00;15.6;81;1018.0;20;9;CORDOBA AERO
10;2021-05-18T10:00:00;17.2;71;1018.1;20;11;CORDOBA AERO
11;2021-05-18T11:00:00;18.4;64;1017.6;20;19;CORDOBA AERO
12;2021-05-18T12:00:00;19.2;58;1017.0;20;28;CORDOBA AERO
13;2021-05-18T13:00:00;19.2;58;1016.5;20;28;CORDOBA AERO
14;2021-05-18T14:00:00;19.6;59;1015.3;230;28;CORDOBA AERO
15;2021-05-18T15:00:00;19.6;57;1014.4;20;26;CORDOBA AERO
16;2021-05-18T16:00:00;20.2;54;1013.8;20;26;CORDOBA AERO
17;2021-05-18T17:00:00;19.2;56;1013.7;20;22;CORDOBA AERO
18;2021-05-18T18:00:00;18.2;61;1014.2;20;17;CORDOBA AERO
19;2021-05-18T19:00:00;17.4;64;1014.3;50;13;CORDOBA AERO
20;2021-05-18T20:00:00;16.0;70;1014.7;50;11;CORDOBA AERO
21;2021-05-18T21:00:00;15.2;71;1014.8;50;13;CORDOBA AERO
22;2021-05-18T22:00:00;14.3;78;1014.9;20;13;CORDOBA AERO
23;2021-05-18T23:00:00;14.4;77;1014.5;20;11;CORDOBA AERO
24;2021-05-18T00:00:00;16.4;82;1019.7;70;7;CORDOBA OBSERVATORIO
25;2021-05-18T01:00:00;16.4;85;1017.2;70;9;CORDOBA OBSERVATORIO
26;2021-05-18T02:00:00;16.2;87;1017.1;50;7;CORDOBA OBSERVATORIO
27;2021-05-18T03:00:00;16.2;84;1016.6;50;7;CORDOBA OBSERVATORIO
28;2021-05-18T04:00:00;16.4;85;1017.2;70;7;CORDOBA OBSERVATORIO
29;2021-05-18T05:00:00;16.4;85;1017.7;70;6;CORDOBA OBSERVATORIO
30;2021-05-18T06:00:00;15.6;85;1016.3;110;6;CORDOBA OBSERVATORIO
31;2021-05-18T07:00:00;15.8;83;1016.0;90;9;CORDOBA OBSERVATORIO
32;2021-05-18T08:00:00;15.3;85;1016.5;90;7;CORDOBA OBSERVATORIO
33;2021-05-18T09:00:00;15.5;84;1016.8;90;7;CORDOBA OBSERVATORIO
34;2021-05-18T10:00:00;16.5;79;1016.9;70;7;CORDOBA OBSERVATORIO
35;2021-05-18T11:00:00;18.1;70;1016.9;50;9;CORDOBA OBSERVATORIO
36;2021-05-18T12:00:00;19.2;64;1016.6;50;9;CORDOBA OBSERVATORIO
37;2021-05-18T13:00:00;19.6;59;1015.2;20;13;CORDOBA OBSERVATORIO
38;2021-05-18T14:00:00;19.9;59;1014.6;20;11;CORDOBA OBSERVATORIO
39;2021-05-18T15:00:00;20.2;60;1013.8;50;9;CORDOBA OBSERVATORIO
40;2021-05-18T16:00:00;20.8;57;1013.1;50;11;CORDOBA OBSERVATORIO
41;2021-05-18T17:00:00;19.8;58;1012.5;50;13;CORDOBA OBSERVATORIO
42;2021-05-18T18:00:00;18.9;62;1013.2;50;11;CORDOBA OBSERVATORIO
43;2021-05-18T19:00:00;18.3;71;1013.3;50;13;CORDOBA OBSERVATORIO
44;2021-05-18T20:00:00;17.6;65;1013.5;50;11;CORDOBA OBSERVATORIO
45;2021-05-18T21:00:00;17.2;63;1013.0;50;11;CORDOBA OBSERVATORIO
46;2021-05-18T22:00:00;16.4;70;1013.1;50;7;CORDOBA OBSERVATORIO
47;2021-05-18T23:00:00;15.8;75;1012.4;70;6;CORDOBA OBSERVATORIO
