;FECHA;TEMP;HUM;PNM;DD;FF;NOMBRE
0;2021-05-01T00:00:00;14.5;60;1013.1;360;15;CORDOBA AERO
1;2021-05-01T01:00:00;14.5;59;1013.4;360;15;CORDOBA AERO
2;2021-05-01T02:00:00;14.0;61;1012.7;360;19;CORDOBA AERO
3;2021-05-01T03:00:00;14.0;61;1012.7;360;19;CORDOBA AERO
4;2021-05-01T04:00:00;13.7;60;1011.7;20;15;CORDOBA AERO
5;2021-05-01T05:00:00;10.6;78;1012.0;360;15;CORDOBA AERO
6;2021-05-01T06:00:00;9.4;82;1012.2;360;11;CORDOBA AERO
7;2021-05-01T07:00:00;10.6;77;1013.6;360;11;CORDOBA AERO
8;2021-05-01T08:00:00;8.4;87;1013.8;340;6;CORDOBA AERO
9;2021-05-01T09:00:00;13.2;77;1013.7;340;6;CORDOBA AERO
10;2021-05-01T10:00:00;19.3;58;1013.6;990;2;CORDOBA AERO
11;2021-05-01T11:00:00;23.7;38;1013.4;360;13;CORDOBA AERO
12;2021-05-01T12:00:00;25.1;38;1012.5;990;4;CORDOBA AERO
13;2021-05-01T13:00:00;26.4;36;1011.2;20;9;CORDOBA AERO
14;2021-05-01T14:00:00;26.7;36;1010.4;10;19;CORDOBA AERO
15;2021-05-01T15:00:00;27.9;35;1009.8;20;17;CORDOBA AERO
16;2021-05-01T16:00:00;27.5;34;1008.8;340;17;CORDOBA AERO
17;2021-05-01T17:00:00;26.3;37;1009.1;10;19;CORDOBA AERO
18;2021-05-01T18:00:00;24.9;40;1009.5;360;15;CORDOBA AERO
19;2021-05-01T19:00:00;18.7;62;1010.7;360;9;CORDOBA AERO
20;2021-05-01T20:00:00;16.2;69;1011.6;360;11;CORDOBA AERO
21;2021-05-01T21:00:00;14.8;76;1012.3;20;9;CORDOBA AERO
22;2021-05-01T22:00:00;14.6;76;1012.4;340;11;CORDOBA AERO
23;2021-05-01T23:00:00;15.6;72;1012.1;340;11;CORDOBA AERO
24;2021-05-01T00:00:00;17.2;53;1013.2;20;6;CORDOBA OBSERVATORIO
25;2021-05-01T01:00:00;16.3;58;1012.8;20;7;CORDOBA OBSERVATORIO
26;2021-05-01T02:00:00;15.4;62;1012.1;360;9;CORDOBA OBSERVATORIO
27;2021-05-01T03:00:00;13.9;70;1011.9;360;6;CORDOBA OBSERVATORIO
28;2021-05-01T04:00:00;13.3;76;1011.4;20;9;CORDOBA OBSERVATORIO
29;2021-05-01T05:00:00;12.4;76;1011.8;360;6;CORDOBA OBSERVATORIO
30;2021-05-01T06:00:00;11.3;81;1012.0;360;4;CORDOBA OBSERVATORIO
31;2021-05-01T07:00:00;12.4;76;1012.4;50;6;CORDOBA OBSERVATORIO
32;2021-05-01T08:00:00;12.2;78;1012.7;50;4;CORDOBA OBSERVATORIO
33;2021-05-01T09:00:00;13.6;71;1013.4;360;4;CORDOBA OBSERVATORIO
34;2021-05-01T10:00:00;18.2;54;1013.4;90;4;CORDOBA OBSERVATORIO
35;2021-05-01T11:00:00;21.5;48;1013.1;90;6;CORDOBA OBSERVATORIO
36;2021-05-01T12:00:00;24.7;42;1012.9;360;6;CORDOBA OBSERVATORIO
37;2021-05-01T13:00:00;27.1;39;1011.0;230;7;CORDOBA OBSERVATORIO
38;2021-05-01T14:00:00;27.4;39;1010.7;320;7;CORDOBA OBSERVATORIO
39;2021-05-01T15:00:00;28.5;37;1009.2;50;7;CORDOBA OBSERVATORIO
40;2021-05-01T16:00:00;28.2;38;1008.8;360;7;CORDOBA OBSERVATORIO
41;2021-05-01T17:00:00;27.2;39;1008.5;360;9;CORDOBA OBSERVATORIO
42;2021-05-01T18:00:00;25.6;43;1008.6;360;7;CORDOBA OBSERVATORIO
43;2021-05-01T19:00:00;24.7;44;1008.7;360;7;CORDOBA OBSERVATORIO
44;2021-05-01T20:00:00;22.2;49;1009.2;50;7;CORDOBA OBSERVATORIO
45;2021-05-01T21:00:00;21.0;52;1009.5;50;6;CORDOBA OBSERVATORIO
46;2021-05-01T22:00:00;20.3;54;1009.6;50;6;CORDOBA OBSERVATORIO
47;2021-05-01T23:00:00;19.5;57;1010.0;50;11;CORDOBA OBSERVATORIO
