;FECHA;TEMP;HUM;PNM;DD;FF;NOMBRE
0;2021-10-09T00:00:00;14.8;55;1018.9;0;0;CORDOBA AERO
1;2021-10-09T01:00:00;13.8;61;1018.8;0;0;CORDOBA AERO
2;2021-10-09T02:00:00;13.3;63;1018.2;0;0;CORDOBA AERO
3;2021-10-09T03:00:00;10.9;69;1017.9;990;4;CORDOBA AERO
4;2021-10-09T04:00:00;8.6;73;1017.6;270;6;CORDOBA AERO
5;2021-10-09T05:00:00;9.3;75;1017.2;280;7;CORDOBA AERO
6;2021-10-09T06:00:00;8.3;80;1017.3;0;0;CORDOBA AERO
7;2021-10-09T07:00:00;8.5;63;1018.0;0;0;CORDOBA AERO
8;2021-10-09T08:00:00;12.1;62;1018.7;0;0;CORDOBA AERO
9;2021-10-09T09:00:00;14.2;56;1019.0;0;0;CORDOBA AERO
10;2021-10-09T10:00:00;16.4;53;1019.0;0;0;CORDOBA AERO
11;2021-10-09T11:00:00;17.3;48;1018.8;180;9;CORDOBA AERO
12;2021-10-09T12:00:00;20.3;41;1018.2;140;4;CORDOBA AERO
13;2021-10-09T13:00:00;22.2;38;1017.3;160;7;CORDOBA AERO
14;2021-10-09T14:00:00;21.6;37;1016.6;140;9;CORDOBA AERO
15;2021-10-09T15:00:00;22.4;40;1015.8;90;11;CORDOBA AERO
16;2021-10-09T16:00:00;24.2;33;1014.9;140;11;CORDOBA AERO
17;2021-10-09T17:00:00;23.7;32;1014.4;90;15;CORDOBA AERO
18;2021-10-09T18:00:00;23.1;34;1014.8;90;15;CORDOBA AERO
19;2021-10-09T19:00:00;21.1;36;1015.7;90;11;CORDOBA AERO
20;2021-10-09T20:00:00;17.2;46;1016.3;90;9;CORDOBA AERO
21;2021-10-09T21:00:00;15.9;51;1016.9;50;7;CORDOBA AERO
22;2021-10-09T22:00:00;15.0;48;1017.3;50;6;CORDOBA AERO
23;2021-10-09T23:00:00;16.2;44;1017.6;50;6;CORDOBA AERO
24;2021-10-09T00:00:00;16.6;40;1017.4;50;6;CORDOBA OBSERVATORIO
25;2021-10-09T01:00:00;16.2;43;1017.3;110;4;CORDOBA OBSERVATORIO
26;2021-10-09T02:00:00;16.0;44;1017.1;110;4;CORDOBA OBSERVATORIO
27;2021-10-09T03:00:00;15.0;51;1017.2;230;7;CORDOBA OBSERVATORIO
28;2021-10-09T04:00:00;14.3;55;1017.6;230;4;CORDOBA OBSERVATORIO
29;2021-10-09T05:00:00;12.2;61;1017.5;230;7;CORDOBA OBSERVATORIO
30;2021-10-09T06:00:00;11.6;65;1017.3;230;4;CORDOBA OBSERVATORIO
31;2021-10-09T07:00:00;11.4;64;1017.6;230;4;CORDOBA OBSERVATORIO
32;2021-10-09T08:00:00;12.9;61;1017.7;230;6;CORDOBA OBSERVATORIO
33;2021-10-09T09:00:00;14.4;57;1018.2;140;7;CORDOBA OBSERVATORIO
34;2021-10-09T10:00:00;16.5;54;1018.3;90;7;CORDOBA OBSERVATORIO
35;2021-10-09T11:00:00;18.7;48;1018.3;140;7;CORDOBA OBSERVATORIO
36;2021-10-09T12:00:00;21.4;41;1018.0;140;9;CORDOBA OBSERVATORIO
37;2021-10-09T13:00:00;22.6;37;1017.0;140;6;CORDOBA OBSERVATORIO
38;2021-10-09T14:00:00;23.7;36;1016.3;140;6;CORDOBA OBSERVATORIO
39;2021-10-09T15:00:00;25.3;32;1015.1;140;11;CORDOBA OBSERVATORIO
40;2021-10-09T16:00:00;25.7;30;1014.3;110;9;CORDOBA OBSERVATORIO
41;2021-10-09T17:00:00;24.5;34;1014.0;110;7;CORDOBA OBSERVATORIO
42;2021-10-09T18:00:00;24.4;33;1013.9;140;9;CORDOBA OBSERVATORIO
43;2021-10-09T19:00:00;23.5;32;1014.6;140;11;CORDOBA OBSERVATORIO
44;2021-10-09T20:00:00;22.0;36;1015.0;110;9;CORDOBA OBSERVATORIO
45;2021-10-09T21:00:00;21.2;38;1015.7;90;9;CORDOBA OBSERVATORIO
46;2021-10-09T22:00:00;20.6;36;1015.5;90;9;CORDOBA OBSERVATORIO
47;2021-10-09T23:00:00;19.6;39;1015.9;110;11;CORDOBA OBSERVATORIO
