;FECHA;TEMP;HUM;PNM;DD;FF;NOMBRE
0;2022-01-21T00:00:00;25.7;92;1008.1;290;6;CORDOBA AERO
1;2022-01-21T01:00:00;25.6;93;1007.5;320;7;CORDOBA AERO
2;2022-01-21T02:00:00;24.7;94;1006.5;0;0;CORDOBA AERO
3;2022-01-21T03:00:00;24.2;94;1005.9;290;6;CORDOBA AERO
4;2022-01-21T04:00:00;23.7;91;1005.7;0;0;CORDOBA AERO
5;2022-01-21T05:00:00;23.2;96;1005.3;0;0;CORDOBA AERO
6;2022-01-21T06:00:00;23.2;95;1004.8;20;7;CORDOBA AERO
7;2022-01-21T07:00:00;22.8;95;1005.3;50;9;CORDOBA AERO
8;2022-01-21T08:00:00;26.3;79;1005.2;360;15;CORDOBA AERO
9;2022-01-21T09:00:00;29.2;63;1004.8;360;22;CORDOBA AERO
10;2022-01-21T10:00:00;31.3;57;1004.0;20;24;CORDOBA AERO
11;2022-01-21T11:00:00;33.1;51;1003.3;20;28;CORDOBA AERO
12;2022-01-21T12:00:00;33.9;55;1002.7;50;28;CORDOBA AERO
13;2022-01-21T13:00:00;34.5;56;1002.1;50;28;CORDOBA AERO
14;2022-01-21T14:00:00;36.6;41;1001.1;20;26;CORDOBA AERO
15;2022-01-21T15:00:00;36.9;37;1000.5;360;26;CORDOBA AERO
16;2022-01-21T16:00:00;37.2;37;999.8;20;22;CORDOBA AERO
17;2022-01-21T17:00:00;37.1;39;999.1;50;20;CORDOBA AERO
18;2022-01-21T18:00:00;35.2;50;998.8;50;15;CORDOBA AERO
19;2022-01-21T19:00:00;34.8;48;998.9;70;11;CORDOBA AERO
20;2022-01-21T20:00:00;33.3;59;999.6;110;7;CORDOBA AERO
21;2022-01-21T21:00:00;27.3;68;1002.0;200;28;CORDOBA AERO
22;2022-01-21T22:00:00;25.6;78;1003.3;180;22;CORDOBA AERO
23;2022-01-21T23:00:00;25.2;78;1003.8;200;15;CORDOBA AERO
24;2022-01-21T00:00:00;27.4;84;1007.3;320;6;CORDOBA OBSERVATORIO
25;2022-01-21T01:00:00;26.8;87;1007.1;320;2;CORDOBA OBSERVATORIO
26;2022-01-21T02:00:00;26.2;88;1006.9;270;2;CORDOBA OBSERVATORIO
27;2022-01-21T03:00:00;25.7;86;1006.2;320;2;CORDOBA OBSERVATORIO
28;2022-01-21T04:00:00;25.2;89;1004.8;320;2;CORDOBA OBSERVATORIO
29;2022-01-21T05:00:00;24.6;92;1003.6;50;6;CORDOBA OBSERVATORIO
30;2022-01-21T06:00:00;25.2;91;1004.7;180;2;CORDOBA OBSERVATORIO
31;2022-01-21T07:00:00;25.2;89;1003.3;90;6;CORDOBA OBSERVATORIO
32;2022-01-21T08:00:00;26.4;82;1003.1;360;4;CORDOBA OBSERVATORIO
33;2022-01-21T09:00:00;27.2;77;1004.4;360;4;CORDOBA OBSERVATORIO
34;2022-01-21T10:00:00;31.4;53;1003.2;20;17;CORDOBA OBSERVATORIO
35;2022-01-21T11:00:00;33.2;53;1000.9;50;11;CORDOBA OBSERVATORIO
36;2022-01-21T12:00:00;35.0;50;1000.8;50;13;CORDOBA OBSERVATORIO
37;2022-01-21T13:00:00;35.4;50;1002.9;50;15;CORDOBA OBSERVATORIO
38;2022-01-21T14:00:00;36.2;48;1003.0;70;19;CORDOBA OBSERVATORIO
39;2022-01-21T15:00:00;38.2;45;999.4;50;15;CORDOBA OBSERVATORIO
40;2022-01-21T16:00:00;38.6;35;998.2;50;13;CORDOBA OBSERVATORIO
41;2022-01-21T17:00:00;38.4;35;998.2;50;13;CORDOBA OBSERVATORIO
42;2022-01-21T18:00:00;37.2;37;999.4;50;19;CORDOBA OBSERVATORIO
43;2022-01-21T19:00:00;37.2;40;998.1;70;9;CORDOBA OBSERVATORIO
44;2022-01-21T20:00:00;35.4;46;999.3;90;13;CORDOBA OBSERVATORIO
45;2022-01-21T21:00:00;27.0;75;1001.3;180;17;CORDOBA OBSERVATORIO
46;2022-01-21T22:00:00;26.2;76;1002.4;180;17;CORDOBA OBSERVATORIO
47;2022-01-21T23:00:00;25.8;78;1002.7;180;11;CORDOBA OBSERVATORIO
