;FECHA;TEMP;HUM;PNM;DD;FF;NOMBRE
0;2021-07-27T00:00:00;5.6;54;1029.9;200;11;CORDOBA AERO
1;2021-07-27T01:00:00;4.0;57;1029.9;200;6;CORDOBA AERO
2;2021-07-27T02:00:00;-.6;72;1030.4;270;4;CORDOBA AERO
3;2021-07-27T03:00:00;2.2;58;1029.6;200;9;CORDOBA AERO
4;2021-07-27T04:00:00;-.6;65;1029.5;250;7;CORDOBA AERO
5;2021-07-27T05:00:00;-2.8;69;1029.6;340;7;CORDOBA AERO
6;2021-07-27T06:00:00;-3.8;88;1029.6;340;9;CORDOBA AERO
7;2021-07-27T07:00:00;-2.7;78;1029.4;320;11;CORDOBA AERO
8;2021-07-27T08:00:00;-2.2;66;1029.9;320;11;CORDOBA AERO
9;2021-07-27T09:00:00;.6;48;1029.8;320;6;CORDOBA AERO
10;2021-07-27T10:00:00;8.3;40;1029.7;270;6;CORDOBA AERO
11;2021-07-27T11:00:00;11.5;14;1030.3;180;13;CORDOBA AERO
12;2021-07-27T12:00:00;12.3;12;1030.0;230;15;CORDOBA AERO
13;2021-07-27T13:00:00;13.2;11;1029.3;180;17;CORDOBA AERO
14;2021-07-27T14:00:00;14.2;13;1028.2;160;17;CORDOBA AERO
15;2021-07-27T15:00:00;15.0;15;1027.3;160;13;CORDOBA AERO
16;2021-07-27T16:00:00;15.3;16;1027.1;160;17;CORDOBA AERO
17;2021-07-27T17:00:00;14.4;19;1027.3;160;11;CORDOBA AERO
18;2021-07-27T18:00:00;13.2;24;1027.3;160;11;CORDOBA AERO
19;2021-07-27T19:00:00;9.9;29;1027.8;140;15;CORDOBA AERO
20;2021-07-27T20:00:00;7.2;42;1029.0;160;7;CORDOBA AERO
21;2021-07-27T21:00:00;3.2;50;1030.0;320;6;CORDOBA AERO
22;2021-07-27T22:00:00;4.4;43;1029.6;990;4;CORDOBA AERO
23;2021-07-27T23:00:00;1.2;50;1030.9;230;4;CORDOBA AERO
24;2021-07-27T00:00:00;7.6;50;1028.9;230;11;CORDOBA OBSERVATORIO
25;2021-07-27T01:00:00;6.7;51;1029.0;230;4;CORDOBA OBSERVATORIO
26;2021-07-27T02:00:00;4.9;61;1029.1;230;6;CORDOBA OBSERVATORIO
27;2021-07-27T03:00:00;2.7;77;1029.0;230;7;CORDOBA OBSERVATORIO
28;2021-07-27T04:00:00;1.4;87;1029.2;230;4;CORDOBA OBSERVATORIO
29;2021-07-27T05:00:00;.8;87;1029.6;140;4;CORDOBA OBSERVATORIO
30;2021-07-27T06:00:00;-.5;96;1028.0;270;4;CORDOBA OBSERVATORIO
31;2021-07-27T07:00:00;.2;90;1028.3;320;4;CORDOBA OBSERVATORIO
32;2021-07-27T08:00:00;.8;73;1029.2;320;2;CORDOBA OBSERVATORIO
33;2021-07-27T09:00:00;1.2;63;1029.2;230;6;CORDOBA OBSERVATORIO
34;2021-07-27T10:00:00;6.5;40;1029.3;320;4;CORDOBA OBSERVATORIO
35;2021-07-27T11:00:00;11.4;40;1029.7;230;6;CORDOBA OBSERVATORIO
36;2021-07-27T12:00:00;13.5;20;1029.5;230;6;CORDOBA OBSERVATORIO
37;2021-07-27T13:00:00;14.7;18;1028.4;180;13;CORDOBA OBSERVATORIO
38;2021-07-27T14:00:00;16.0;20;1027.7;180;11;CORDOBA OBSERVATORIO
39;2021-07-27T15:00:00;15.8;21;1027.1;140;13;CORDOBA OBSERVATORIO
40;2021-07-27T16:00:00;15.7;26;1026.6;140;11;CORDOBA OBSERVATORIO
41;2021-07-27T17:00:00;16.0;22;1026.2;140;11;CORDOBA OBSERVATORIO
42;2021-07-27T18:00:00;14.7;23;1026.4;140;7;CORDOBA OBSERVATORIO
43;2021-07-27T19:00:00;12.6;40;1026.9;140;11;CORDOBA OBSERVATORIO
44;2021-07-27T20:00:00;11.1;33;1027.3;140;9;CORDOBA OBSERVATORIO
45;2021-07-27T21:00:00;8.7;45;1028.2;270;4;CORDOBA OBSERVATORIO
46;2021-07-27T22:00:00;7.7;45;1028.7;200;6;CORDOBA OBSERVATORIO
47;2021-07-27T23:00:00;8.3;37;1029.2;230;7;CORDOBA OBSERVATORIO
