;FECHA;TEMP;HUM;PNM;DD;FF;NOMBRE
0;2021-04-21T00:00:00;20.8;77;1011.6;230;9;CORDOBA AERO
1;2021-04-21T01:00:00;20.6;73;1009.9;20;26;CORDOBA AERO
2;2021-04-21T02:00:00;20.0;77;1009.3;50;24;CORDOBA AERO
3;2021-04-21T03:00:00;19.9;77;1008.3;20;22;CORDOBA AERO
4;2021-04-21T04:00:00;19.5;79;1008.5;360;17;CORDOBA AERO
5;2021-04-21T05:00:00;19.7;82;1008.4;20;13;CORDOBA AERO
6;2021-04-21T06:00:00;19.1;86;1008.7;70;9;CORDOBA AERO
7;2021-04-21T07:00:00;18.3;89;1009.3;50;11;CORDOBA AERO
8;2021-04-21T08:00:00;18.2;92;1010.3;50;6;CORDOBA AERO
9;2021-04-21T09:00:00;19.0;87;1010.3;20;9;CORDOBA AERO
10;2021-04-21T10:00:00;21.4;80;1010.1;20;11;CORDOBA AERO
11;2021-04-21T11:00:00;23.0;71;1009.6;20;22;CORDOBA AERO
12;2021-04-21T12:00:00;23.2;72;1008.6;50;24;CORDOBA AERO
13;2021-04-21T13:00:00;25.0;64;1008.4;50;24;CORDOBA AERO
14;2021-04-21T14:00:00;26.0;63;1007.5;50;17;CORDOBA AERO
15;2021-04-21T15:00:00;27.2;61;1007.5;140;11;CORDOBA AERO
16;2021-04-21T16:00:00;17.0;76;1011.5;200;31;CORDOBA AERO
17;2021-04-21T17:00:00;15.7;73;1013.1;180;17;CORDOBA AERO
18;2021-04-21T18:00:00;16.1;70;1013.4;180;20;CORDOBA AERO
19;2021-04-21T19:00:00;16.4;73;1014.0;200;17;CORDOBA AERO
20;2021-04-21T20:00:00;16.7;71;1013.2;200;20;CORDOBA AERO
21;2021-04-21T21:00:00;17.0;66;1014.6;200;17;CORDOBA AERO
22;2021-04-21T22:00:00;16.6;70;1015.4;230;7;CORDOBA AERO
23;2021-04-21T23:00:00;16.6;72;1014.9;230;9;CORDOBA AERO
24;2021-04-21T00:00:00;22.3;69;1010.7;50;11;CORDOBA OBSERVATORIO
25;2021-04-21T01:00:00;21.6;74;1009.5;50;7;CORDOBA OBSERVATORIO
26;2021-04-21T02:00:00;21.1;75;1008.9;50;11;CORDOBA OBSERVATORIO
27;2021-04-21T03:00:00;20.2;81;1008.2;50;7;CORDOBA OBSERVATORIO
28;2021-04-21T04:00:00;19.8;82;1008.0;50;7;CORDOBA OBSERVATORIO
29;2021-04-21T05:00:00;20.2;83;1008.3;50;6;CORDOBA OBSERVATORIO
30;2021-04-21T06:00:00;20.3;82;1008.7;50;9;CORDOBA OBSERVATORIO
31;2021-04-21T07:00:00;20.0;90;1008.5;90;6;CORDOBA OBSERVATORIO
32;2021-04-21T08:00:00;19.8;83;1009.1;70;11;CORDOBA OBSERVATORIO
33;2021-04-21T09:00:00;19.0;92;1009.6;70;13;CORDOBA OBSERVATORIO
34;2021-04-21T10:00:00;21.0;84;1009.4;50;7;CORDOBA OBSERVATORIO
35;2021-04-21T11:00:00;22.0;80;1009.4;50;13;CORDOBA OBSERVATORIO
36;2021-04-21T12:00:00;24.0;72;1009.1;50;11;CORDOBA OBSERVATORIO
37;2021-04-21T13:00:00;25.0;67;1007.7;50;13;CORDOBA OBSERVATORIO
38;2021-04-21T14:00:00;26.3;63;1006.5;50;11;CORDOBA OBSERVATORIO
39;2021-04-21T15:00:00;26.8;60;1006.7;140;13;CORDOBA OBSERVATORIO
40;2021-04-21T16:00:00;17.0;76;1011.1;200;19;CORDOBA OBSERVATORIO
41;2021-04-21T17:00:00;16.5;74;1012.2;160;11;CORDOBA OBSERVATORIO
42;2021-04-21T18:00:00;17.1;71;1012.4;180;7;CORDOBA OBSERVATORIO
43;2021-04-21T19:00:00;17.4;73;1013.2;200;15;CORDOBA OBSERVATORIO
44;2021-04-21T20:00:00;17.6;71;1012.1;230;17;CORDOBA OBSERVATORIO
45;2021-04-21T21:00:00;17.4;69;1012.5;180;9;CORDOBA OBSERVATORIO
46;2021-04-21T22:00:00;17.4;69;1014.4;230;6;CORDOBA OBSERVATORIO
47;2021-04-21T23:00:00;16.4;72;1014.7;230;9;CORDOBA OBSERVATORIO
