;FECHA;TEMP;HUM;PNM;DD;FF;NOMBRE
0;2022-01-07T00:00:00;18.1;59;1012.4;320;9;CORDOBA AERO
1;2022-01-07T01:00:00;17.7;63;1012.5;290;9;CORDOBA AERO
2;2022-01-07T02:00:00;17.1;68;1012.6;320;7;CORDOBA AERO
3;2022-01-07T03:00:00;15.7;78;1012.3;320;9;CORDOBA AERO
4;2022-01-07T04:00:00;15.8;74;1011.9;320;7;CORDOBA AERO
5;2022-01-07T05:00:00;15.6;76;1012.4;270;6;CORDOBA AERO
6;2022-01-07T06:00:00;14.2;82;1012.7;320;7;CORDOBA AERO
7;2022-01-07T07:00:00;14.8;82;1013.2;320;9;CORDOBA AERO
8;2022-01-07T08:00:00;20.9;61;1013.0;340;7;CORDOBA AERO
9;2022-01-07T09:00:00;25.3;43;1013.3;20;17;CORDOBA AERO
10;2022-01-07T10:00:00;26.7;36;1013.8;20;15;CORDOBA AERO
11;2022-01-07T11:00:00;28.5;32;1013.7;20;15;CORDOBA AERO
12;2022-01-07T12:00:00;28.7;30;1013.2;50;19;CORDOBA AERO
13;2022-01-07T13:00:00;30.5;32;1012.6;20;11;CORDOBA AERO
14;2022-01-07T14:00:00;31.5;32;1011.9;70;6;CORDOBA AERO
15;2022-01-07T15:00:00;31.7;31;1011.6;140;13;CORDOBA AERO
16;2022-01-07T16:00:00;31.8;30;1011.1;70;13;CORDOBA AERO
17;2022-01-07T17:00:00;30.7;31;1011.2;90;13;CORDOBA AERO
18;2022-01-07T18:00:00;29.5;37;1011.1;90;13;CORDOBA AERO
19;2022-01-07T19:00:00;29.0;36;1011.4;90;9;CORDOBA AERO
20;2022-01-07T20:00:00;27.5;46;1011.5;90;7;CORDOBA AERO
21;2022-01-07T21:00:00;24.6;51;1012.1;90;4;CORDOBA AERO
22;2022-01-07T22:00:00;20.4;64;1012.9;0;0;CORDOBA AERO
23;2022-01-07T23:00:00;19.1;67;1013.7;320;9;CORDOBA AERO
24;2022-01-07T00:00:00;22.9;50;1011.6;290;4;CORDOBA OBSERVATORIO
25;2022-01-07T01:00:00;22.4;50;1011.8;320;4;CORDOBA OBSERVATORIO
26;2022-01-07T02:00:00;21.5;57;1012.0;230;2;CORDOBA OBSERVATORIO
27;2022-01-07T03:00:00;20.9;58;1011.6;230;4;CORDOBA OBSERVATORIO
28;2022-01-07T04:00:00;20.4;64;1011.1;230;4;CORDOBA OBSERVATORIO
29;2022-01-07T05:00:00;19.6;57;1011.6;160;2;CORDOBA OBSERVATORIO
30;2022-01-07T06:00:00;19.2;59;1012.1;180;4;CORDOBA OBSERVATORIO
31;2022-01-07T07:00:00;19.5;65;1012.3;320;4;CORDOBA OBSERVATORIO
32;2022-01-07T08:00:00;21.8;58;1011.7;270;2;CORDOBA OBSERVATORIO
33;2022-01-07T09:00:00;24.4;50;1011.9;50;6;CORDOBA OBSERVATORIO
34;2022-01-07T10:00:00;28.0;37;1012.3;50;9;CORDOBA OBSERVATORIO
35;2022-01-07T11:00:00;29.7;31;1012.2;50;9;CORDOBA OBSERVATORIO
36;2022-01-07T12:00:00;30.7;31;1012.1;90;13;CORDOBA OBSERVATORIO
37;2022-01-07T13:00:00;31.8;29;1011.7;110;9;CORDOBA OBSERVATORIO
38;2022-01-07T14:00:00;31.6;31;1010.6;50;11;CORDOBA OBSERVATORIO
39;2022-01-07T15:00:00;33.3;29;1010.4;90;11;CORDOBA OBSERVATORIO
40;2022-01-07T16:00:00;32.8;28;1009.9;90;11;CORDOBA OBSERVATORIO
41;2022-01-07T17:00:00;32.6;29;1009.5;110;9;CORDOBA OBSERVATORIO
42;2022-01-07T18:00:00;31.3;30;1009.5;110;13;CORDOBA OBSERVATORIO
43;2022-01-07T19:00:00;31.2;29;1010.2;110;9;CORDOBA OBSERVATORIO
44;2022-01-07T20:00:00;30.2;33;1010.5;140;9;CORDOBA OBSERVATORIO
45;2022-01-07T21:00:00;28.9;37;1010.8;140;7;CORDOBA OBSERVATORIO
46;2022-01-07T22:00:00;28.0;37;1011.6;160;6;CORDOBA OBSERVATORIO
47;2022-01-07T23:00:00;25.4;47;1012.4;230;11;CORDOBA OBSERVATORIO
